data,n_aparicoes,pgs
2009-11-04,19,"[17, 11, 12, 5]"
2009-11-05,16,"[1, 10, 11, 12]"
2009-11-06,3,"[4, 13]"
2009-11-09,21,"[1, 4, 13, 14]"
2009-11-10,20,"[1, 10, 11, 4]"
2009-11-11,62,"[1, 4, 10, 11, 12, 13, 14, 15, 16, 23]"
2009-11-12,8,"[4, 12]"
2009-11-13,30,"[1, 4, 81, 82, 19, 51, 83]"
2009-11-16,5,"[11, 4]"
2009-11-17,1,[4]
2009-11-18,15,"[4, 10, 11, 17, 56, 57]"
2009-11-19,16,"[4, 13, 14]"
2009-11-20,6,"[4, 13]"
2009-11-23,7,"[24, 4, 23]"
2009-11-24,8,"[4, 5, 14]"
2009-11-25,58,"[1, 4, 13, 14, 15, 16, 17, 18, 19]"
2009-11-26,38,"[1, 4, 11, 12, 13, 14, 15]"
2009-11-27,16,"[1, 4, 18, 19, 27]"
2009-11-30,20,"[16, 4, 15]"
2009-12-01,49,"[1, 4, 5, 15, 16, 17, 18, 19, 21]"
2009-12-02,7,"[4, 14]"
2009-12-03,8,"[18, 4, 45]"
2009-12-04,5,"[1, 4, 17]"
2009-12-07,10,"[1, 4, 17, 31]"
2009-12-09,3,"[4, 14]"
2009-12-10,14,"[16, 17, 4, 5]"
2009-12-11,14,"[1, 34, 4, 15, 16]"
2009-12-14,7,"[8, 18, 4, 7]"
2009-12-15,3,"[10, 4]"
2009-12-16,8,"[1, 10, 11, 4]"
2009-12-17,8,"[11, 4]"
2009-12-18,9,"[11, 4]"
2009-12-21,1,[4]
2009-12-22,24,"[4, 15, 14, 7]"
2009-12-23,3,"[4, 13]"
2009-12-24,10,"[4, 6, 12, 15, 16]"
2009-12-28,1,[4]
2009-12-29,1,[4]
2009-12-30,1,[4]
2009-12-31,1,[4]
2011-01-04,2,"[9, 4]"
2011-01-05,3,"[8, 4]"
2011-01-06,3,"[18, 4]"
2011-01-07,12,"[4, 12]"
2011-01-10,4,"[4, 15]"
2011-01-11,15,"[10, 11, 4]"
2011-01-12,5,"[19, 4]"
2011-01-13,10,"[10, 11, 4]"
2011-01-14,11,"[10, 11, 4]"
2011-01-17,2,"[19, 4]"
2011-01-18,1,[4]
2011-01-19,1,[4]
2011-01-20,3,"[4, 30]"
2011-01-21,6,"[11, 4, 14]"
2011-01-24,3,"[27, 4]"
2011-01-25,1,[4]
2011-01-26,18,"[18, 4, 15]"
2011-01-27,2,"[11, 4]"
2011-01-28,3,"[4, 13]"
2011-01-31,1,[4]
2011-02-01,3,"[18, 4]"
2011-02-02,10,"[11, 4, 12, 15]"
2011-02-03,5,"[26, 4]"
2011-02-04,9,"[11, 4]"
2011-02-07,6,"[4, 14]"
2011-02-08,1,[4]
2011-02-09,11,"[4, 37, 38, 10, 45, 51, 56, 29]"
2011-02-10,5,"[4, 14]"
2011-02-11,6,"[4, 13]"
2011-02-14,3,"[16, 4, 15]"
2011-02-15,3,"[4, 12]"
2011-02-16,8,"[4, 14]"
2011-02-17,1,[4]
2011-02-18,1,[4]
2011-02-21,7,"[10, 11, 4]"
2011-02-22,3,"[4, 12]"
2011-02-23,1,[4]
2011-02-24,1,[4]
2011-02-25,14,"[13, 4, 12]"
2011-02-28,1,[4]
2011-03-01,1,[4]
2011-03-02,4,"[10, 4]"
2011-03-03,14,"[10, 11, 4]"
2011-03-04,1,[4]
2011-03-09,6,"[4, 11, 16, 21, 22]"
2011-03-10,2,"[9, 4]"
2011-03-11,3,"[4, 15]"
2011-03-14,3,"[11, 4]"
2011-03-15,4,"[4, 13]"
2011-03-16,4,"[19, 4, 12]"
2011-03-17,4,"[9, 4]"
2011-03-18,1,[4]
2011-03-21,1,[4]
2011-03-22,5,"[19, 4]"
2011-03-23,1,[4]
2011-03-24,1,[4]
2011-03-25,1,[4]
2011-03-28,2,"[4, 21]"
2011-03-29,8,"[1, 10, 4, 23]"
2011-03-30,13,"[1, 4, 5, 14]"
2011-03-31,1,[4]
2011-04-01,3,"[4, 28]"
2011-04-04,2,"[4, 12]"
2011-04-05,4,"[4, 13, 14]"
2011-04-06,13,"[4, 14, 15]"
2011-04-07,4,"[4, 5]"
2011-04-08,5,"[4, 14]"
